Catégorie : Toutes catégories

Semaine,business confidence: (États-Unis)
2015-11-01,47
2015-11-08,38
2015-11-15,64
2015-11-22,34
2015-11-29,61
2015-12-06,38
2015-12-13,30
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,42
2016-01-17,55
2016-01-24,48
2016-01-31,53
2016-02-07,36
2016-02-14,58
2016-02-21,41
2016-02-28,52
2016-03-06,50
2016-03-13,46
2016-03-20,50
2016-03-27,79
2016-04-03,63
2016-04-10,46
2016-04-17,68
2016-04-24,48
2016-05-01,52
2016-05-08,53
2016-05-15,38
2016-05-22,35
2016-05-29,0
2016-06-05,0
2016-06-12,35
2016-06-19,23
2016-06-26,29
2016-07-03,26
2016-07-10,34
2016-07-17,29
2016-07-24,29
2016-07-31,30
2016-08-07,45
2016-08-14,0
2016-08-21,29
2016-08-28,52
2016-09-04,53
2016-09-11,46
2016-09-18,52
2016-09-25,43
2016-10-02,56
2016-10-09,44
2016-10-16,55
2016-10-23,58
2016-10-30,68
2016-11-06,62
2016-11-13,85
2016-11-20,39
2016-11-27,65
2016-12-04,62
2016-12-11,49
2016-12-18,38
2016-12-25,22
2017-01-01,42
2017-01-08,51
2017-01-15,49
2017-01-22,62
2017-01-29,81
2017-02-05,63
2017-02-12,44
2017-02-19,60
2017-02-26,65
2017-03-05,68
2017-03-12,45
2017-03-19,72
2017-03-26,100
2017-04-02,84
2017-04-09,96
2017-04-16,59
2017-04-23,79
2017-04-30,80
2017-05-07,63
2017-05-14,25
2017-05-21,34
2017-05-28,37
2017-06-04,31
2017-06-11,40
2017-06-18,31
2017-06-25,47
2017-07-02,32
2017-07-09,23
2017-07-16,42
2017-07-23,42
2017-07-30,31
2017-08-06,34
2017-08-13,33
2017-08-20,31
2017-08-27,41
2017-09-03,41
2017-09-10,41
2017-09-17,57
2017-09-24,42
2017-10-01,42
2017-10-08,50
2017-10-15,67
2017-10-22,45
2017-10-29,67
2017-11-05,71
2017-11-12,64
2017-11-19,41
2017-11-26,65
2017-12-03,62
2017-12-10,54
2017-12-17,36
2017-12-24,0
2017-12-31,29
2018-01-07,45
2018-01-14,47
2018-01-21,57
2018-01-28,51
2018-02-04,46
2018-02-11,55
2018-02-18,73
2018-02-25,57
2018-03-04,43
2018-03-11,34
2018-03-18,67
2018-03-25,76
2018-04-01,54
2018-04-08,68
2018-04-15,74
2018-04-22,63
2018-04-29,59
2018-05-06,66
2018-05-13,33
2018-05-20,54
2018-05-27,45
2018-06-03,40
2018-06-10,43
2018-06-17,40
2018-06-24,41
2018-07-01,27
2018-07-08,38
2018-07-15,21
2018-07-22,44
2018-07-29,26
2018-08-05,44
2018-08-12,40
2018-08-19,31
2018-08-26,31
2018-09-02,41
2018-09-09,69
2018-09-16,61
2018-09-23,43
2018-09-30,44
2018-10-07,60
2018-10-14,53
2018-10-21,77
2018-10-28,57
2018-11-04,84
2018-11-11,73
2018-11-18,52
2018-11-25,54
2018-12-02,83
2018-12-09,76
2018-12-16,35
2018-12-23,26
2018-12-30,30
2019-01-06,29
2019-01-13,43
2019-01-20,62
2019-01-27,51
2019-02-03,69
2019-02-10,49
2019-02-17,59
2019-02-24,66
2019-03-03,53
2019-03-10,43
2019-03-17,53
2019-03-24,51
2019-03-31,69
2019-04-07,49
2019-04-14,67
2019-04-21,67
2019-04-28,46
2019-05-05,40
2019-05-12,50
2019-05-19,21
2019-05-26,40
2019-06-02,53
2019-06-09,46
2019-06-16,41
2019-06-23,46
2019-06-30,34
2019-07-07,42
2019-07-14,0
2019-07-21,32
2019-07-28,42
2019-08-04,36
2019-08-11,37
2019-08-18,47
2019-08-25,44
2019-09-01,48
2019-09-08,51
2019-09-15,66
2019-09-22,62
2019-09-29,60
2019-10-06,48
2019-10-13,62
2019-10-20,71
2019-10-27,61
2019-11-03,63
2019-11-10,60
2019-11-17,65
2019-11-24,36
2019-12-01,54
2019-12-08,60
2019-12-15,45
2019-12-22,0
2019-12-29,0
2020-01-05,36
2020-01-12,25
2020-01-19,59
2020-01-26,60
2020-02-02,72
2020-02-09,46
2020-02-16,73
2020-02-23,79
2020-03-01,55
2020-03-08,65
2020-03-15,45
2020-03-22,61
2020-03-29,66
2020-04-05,71
2020-04-12,67
2020-04-19,84
2020-04-26,84
2020-05-03,96
2020-05-10,83
2020-05-17,47
2020-05-24,44
2020-05-31,37
2020-06-07,49
2020-06-14,30
2020-06-21,46
2020-06-28,44
2020-07-05,52
2020-07-12,33
2020-07-19,44
2020-07-26,62
2020-08-02,35
2020-08-09,28
2020-08-16,39
2020-08-23,32
2020-08-30,46
2020-09-06,60
2020-09-13,65
2020-09-20,62
2020-09-27,57
2020-10-04,61
2020-10-11,51
2020-10-18,80
2020-10-25,86
2020-11-01,70
2020-11-08,86
2020-11-15,81
2020-11-22,52
2020-11-29,70
2020-12-06,72
2020-12-13,62
2020-12-20,20
2020-12-27,24
