Catégorie : Toutes catégories

Semaine,job losses: (États-Unis)
2015-11-01,28
2015-11-08,25
2015-11-15,15
2015-11-22,15
2015-11-29,14
2015-12-06,19
2015-12-13,14
2015-12-20,0
2015-12-27,13
2016-01-03,19
2016-01-10,22
2016-01-17,27
2016-01-24,25
2016-01-31,38
2016-02-07,24
2016-02-14,21
2016-02-21,23
2016-02-28,31
2016-03-06,28
2016-03-13,29
2016-03-20,20
2016-03-27,25
2016-04-03,22
2016-04-10,26
2016-04-17,18
2016-04-24,24
2016-05-01,17
2016-05-08,18
2016-05-15,16
2016-05-22,11
2016-05-29,14
2016-06-05,17
2016-06-12,0
2016-06-19,13
2016-06-26,16
2016-07-03,13
2016-07-10,15
2016-07-17,19
2016-07-24,11
2016-07-31,14
2016-08-07,17
2016-08-14,13
2016-08-21,11
2016-08-28,14
2016-09-04,13
2016-09-11,12
2016-09-18,15
2016-09-25,25
2016-10-02,20
2016-10-09,25
2016-10-16,14
2016-10-23,17
2016-10-30,19
2016-11-06,29
2016-11-13,23
2016-11-20,13
2016-11-27,23
2016-12-04,24
2016-12-11,20
2016-12-18,14
2016-12-25,14
2017-01-01,16
2017-01-08,14
2017-01-15,17
2017-01-22,21
2017-01-29,19
2017-02-05,19
2017-02-12,17
2017-02-19,23
2017-02-26,24
2017-03-05,29
2017-03-12,16
2017-03-19,14
2017-03-26,16
2017-04-02,21
2017-04-09,13
2017-04-16,18
2017-04-23,25
2017-04-30,13
2017-05-07,16
2017-05-14,14
2017-05-21,15
2017-05-28,22
2017-06-04,0
2017-06-11,13
2017-06-18,19
2017-06-25,9
2017-07-02,16
2017-07-09,12
2017-07-16,12
2017-07-23,15
2017-07-30,13
2017-08-06,0
2017-08-13,10
2017-08-20,0
2017-08-27,9
2017-09-03,9
2017-09-10,0
2017-09-17,12
2017-09-24,13
2017-10-01,27
2017-10-08,27
2017-10-15,8
2017-10-22,16
2017-10-29,14
2017-11-05,15
2017-11-12,14
2017-11-19,12
2017-11-26,18
2017-12-03,11
2017-12-10,15
2017-12-17,0
2017-12-24,0
2017-12-31,11
2018-01-07,15
2018-01-14,12
2018-01-21,19
2018-01-28,25
2018-02-04,20
2018-02-11,20
2018-02-18,13
2018-02-25,14
2018-03-04,16
2018-03-11,14
2018-03-18,11
2018-03-25,12
2018-04-01,0
2018-04-08,18
2018-04-15,16
2018-04-22,9
2018-04-29,16
2018-05-06,8
2018-05-13,9
2018-05-20,12
2018-05-27,17
2018-06-03,11
2018-06-10,11
2018-06-17,13
2018-06-24,17
2018-07-01,12
2018-07-08,9
2018-07-15,12
2018-07-22,12
2018-07-29,13
2018-08-05,0
2018-08-12,8
2018-08-19,9
2018-08-26,11
2018-09-02,13
2018-09-09,10
2018-09-16,14
2018-09-23,15
2018-09-30,21
2018-10-07,14
2018-10-14,16
2018-10-21,12
2018-10-28,12
2018-11-04,9
2018-11-11,11
2018-11-18,19
2018-11-25,21
2018-12-02,16
2018-12-09,15
2018-12-16,11
2018-12-23,0
2018-12-30,9
2019-01-06,16
2019-01-13,15
2019-01-20,13
2019-01-27,14
2019-02-03,12
2019-02-10,18
2019-02-17,14
2019-02-24,20
2019-03-03,19
2019-03-10,14
2019-03-17,18
2019-03-24,10
2019-03-31,16
2019-04-07,16
2019-04-14,0
2019-04-21,13
2019-04-28,19
2019-05-05,12
2019-05-12,13
2019-05-19,12
2019-05-26,8
2019-06-02,8
2019-06-09,12
2019-06-16,0
2019-06-23,15
2019-06-30,13
2019-07-07,0
2019-07-14,13
2019-07-21,11
2019-07-28,14
2019-08-04,12
2019-08-11,0
2019-08-18,11
2019-08-25,16
2019-09-01,12
2019-09-08,16
2019-09-15,10
2019-09-22,12
2019-09-29,16
2019-10-06,12
2019-10-13,25
2019-10-20,13
2019-10-27,14
2019-11-03,11
2019-11-10,16
2019-11-17,14
2019-11-24,10
2019-12-01,20
2019-12-08,21
2019-12-15,18
2019-12-22,10
2019-12-29,15
2020-01-05,10
2020-01-12,11
2020-01-19,15
2020-01-26,8
2020-02-02,17
2020-02-09,16
2020-02-16,17
2020-02-23,22
2020-03-01,15
2020-03-08,25
2020-03-15,81
2020-03-22,74
2020-03-29,85
2020-04-05,69
2020-04-12,75
2020-04-19,85
2020-04-26,59
2020-05-03,100
2020-05-10,79
2020-05-17,62
2020-05-24,43
2020-05-31,45
2020-06-07,48
2020-06-14,38
2020-06-21,46
2020-06-28,37
2020-07-05,28
2020-07-12,32
2020-07-19,21
2020-07-26,27
2020-08-02,27
2020-08-09,26
2020-08-16,30
2020-08-23,28
2020-08-30,36
2020-09-06,29
2020-09-13,24
2020-09-20,23
2020-09-27,46
2020-10-04,38
2020-10-11,22
2020-10-18,33
2020-10-25,36
2020-11-01,27
2020-11-08,24
2020-11-15,23
2020-11-22,22
2020-11-29,20
2020-12-06,21
2020-12-13,27
2020-12-20,0
2020-12-27,9
